fips,county,state,metro_area,zhvi_latest,zhvi_1yr_ago,zhvi_5yr_ago,zhvi_1yr_chg_pct,zhvi_5yr_chg_pct
01121,Talladega County,AL,"Talladega-Sylacauga, AL",175757.12335977578,178247.05929202613,141975.21404236753,-1.3969015489736836,23.794230243123437
40119,Payne County,OK,"Stillwater, OK",235370.1063749342,227549.89057615923,180661.5533071976,3.4367038274437656,30.28234401079788
48213,Henderson County,TX,"Athens, TX",263717.4643946721,268899.5883163338,215558.6012281786,-1.927159485110641,22.341424973116773
18005,Bartholomew County,IN,"Columbus, IN",267793.2772449127,259044.87038050173,191652.9362422845,3.37717818984824,39.72824131761428
21029,Bullitt County,KY,"Louisville/Jefferson County, KY-IN",291922.485510296,287113.33885973564,232276.20542480916,1.6749993816587594,25.679031554868036
48099,Coryell County,TX,"Killeen-Temple, TX",221654.65523354095,220811.32841478343,166845.21564401456,0.3819218990310791,32.85047124543821
20103,Leavenworth County,KS,"Kansas City, MO-KS",337842.7606444901,326600.7071625011,240364.00051694887,3.4421399695241384,40.5546420919499
53041,Lewis County,WA,"Centralia, WA",423739.6476817964,413377.0779411189,317709.2632835079,2.506808019518081,33.373400354295704
55071,Manitowoc County,WI,"Manitowoc, WI",252019.00871444072,237652.40164140545,163210.92414605894,6.045218551888687,54.41307622822269
29031,Cape Girardeau County,MO,"Cape Girardeau, MO-IL",240571.34839946125,230646.71734993535,181973.14714135844,4.302957858475964,32.20156499935849
37027,Caldwell County,NC,"Hickory-Lenoir-Morganton, NC",230461.16656383287,234546.80002434077,170328.54397919727,-1.7419267540993544,35.303902199727474
42033,Clearfield County,PA,"DuBois, PA",136983.61156906755,134786.0943200316,142716.7714667023,1.630373860242762,-4.0171591878901065
40145,Wagoner County,OK,"Tulsa, OK",277595.7183546709,270283.84565635136,205722.593720458,2.7052570162169998,34.93691350784553
06115,Yuba County,CA,"Yuba City, CA",413592.14716037986,425982.0455142986,345908.4284922039,-2.9085494293451086,19.566946941190654
18085,Kosciusko County,IN,"Warsaw, IN",273111.9091396995,266025.8493004236,202493.0660374705,2.663673420425239,34.874696938591086
36019,Clinton County,NY,"Plattsburgh, NY",214418.15525511492,206535.8423944944,158058.82237984877,3.8164382362093408,35.65718890390235
13031,Bulloch County,GA,"Statesboro, GA",280857.0714382692,278103.68897069205,177069.03667230078,0.9900560750444987,58.6144459339029
41059,Umatilla County,OR,"Hermiston-Pendleton, OR",304693.87164753,299118.4757545834,232457.47449940976,1.8639423321750836,31.075101931516368
56025,Natrona County,WY,"Casper, WY",303808.3726751003,300228.75231519475,231156.77650690288,1.192297650475349,31.429576612921785
18043,Floyd County,IN,"Louisville/Jefferson County, KY-IN",278162.24334181956,269633.9747866158,213103.74084430528,3.1629057732627697,30.529028838140547
51019,Bedford County,VA,"Lynchburg, VA",340566.5380984252,331545.2178876766,246679.8019085737,2.7209924088861026,38.0601636061993
47141,Putnam County,TN,"Cookeville, TN",306272.1888021936,301600.4997625474,213380.91576644208,1.5489659477767148,43.533074502982494
26037,Clinton County,MI,"Lansing-East Lansing, MI",300179.81167339726,295795.37665228546,232478.6754296797,1.4822527217069448,29.121439253982608
51680,Lynchburg City,VA,"Lynchburg, VA",238470.84417912285,239367.29798014817,171271.15649282694,-0.37450972149907225,39.23584628163022
37195,Wilson County,NC,"Wilson, NC",218311.51128446157,217673.89869847227,148517.3643921143,0.29292101156901396,46.99393042558804
18059,Hancock County,IN,"Indianapolis-Carmel-Anderson, IN",322720.47688031424,315878.8313659434,236316.9141525832,2.165908201187694,36.562580819730364
53007,Chelan County,WA,"Wenatchee, WA",527954.0977078637,525872.2661466858,438609.59812336025,0.39588160380321646,20.369937175742116
36105,Sullivan County,NY,,305680.8702511,301055.204171926,195445.93612858912,1.5364843440913711,56.401752989115295
45073,Oconee County,SC,"Seneca, SC",281372.3994505321,275500.84991372755,200974.01400048845,2.1312273768459233,40.00436864929624
51095,James City County,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",473161.04901779746,471226.86083504726,349247.17519887764,0.41045796483729635,35.480279474947075
28035,Forrest County,MS,"Hattiesburg, MS",184322.53946734092,185176.2090141351,157956.83356578034,-0.4610039007381439,16.691715898812774
29051,Cole County,MO,"Jefferson City, MO",275670.5306469843,258512.6738766627,182877.68421079195,6.637143360525388,50.74038794653353
36009,Cattaraugus County,NY,"Olean, NY",154978.45941807286,151653.77906614283,109539.93825016462,2.192283220637714,41.481236792499246
39141,Ross County,OH,"Chillicothe, OH",193978.45109363343,190017.8424770606,144242.28039706466,2.0843351155568346,34.480993062267814
51015,Augusta County,VA,"Staunton, VA",351186.2694925812,338404.1722700858,273288.5313770235,3.7771689210420956,28.50384453495105
05145,White County,AR,"Searcy, AR",203852.01618944775,196251.13887429697,145617.15515767245,3.873036028605825,39.99175850449716
53009,Clallam County,WA,"Port Angeles, WA",486532.8546404859,484761.735997716,367357.0460048595,0.36535858984922953,32.441410864908214
47001,Anderson County,TN,"Knoxville, TN",306413.99107224337,297105.603265001,192805.51816602307,3.1330233105498984,58.9238700151689
36011,Cayuga County,NY,"Auburn, NY",219571.1046726983,213105.8089916647,158097.87101163654,3.033843005793657,38.88302433657511
48471,Walker County,TX,"Huntsville, TX",269177.0957138744,267046.21784557524,227867.74571496097,0.797943474163465,18.128651718259036
33005,Cheshire County,NH,"Keene, NH",373620.10803831695,359510.2181376405,243718.03701055652,3.9247535087512775,53.30014660430478
35061,Valencia County,NM,"Albuquerque, NM",305818.48876626644,300709.0384366932,216807.6622567013,1.6991342714991031,41.05520330004568
39043,Erie County,OH,"Sandusky, OH",227673.45955104777,225128.5132031851,164923.26549972966,1.1304415916280508,38.048115201442556
26159,Van Buren County,MI,,258956.70914000875,256438.5685972288,207890.96933132497,0.9819663853821714,24.563712398347647
39063,Hancock County,OH,"Findlay, OH",228925.43302573691,224791.68090784297,174140.39941549292,1.8389257561487016,31.460266425327777
