fips,walkability_score
26151,4.795
26153,5.913
26155,5.679
26157,4.605
26159,5.31
26161,9.619
26163,10.181
26165,6.124
27001,5.136
27003,8.825
27005,5.838
27007,6.017
27009,6.928
27011,6.366
27013,7.225
27015,7.668
27017,5.888
27019,7.297
27021,5.523
27023,7.019
27025,6.158
27027,10.431
27029,4.528
27031,6.381
27033,6.082
27035,6.463
27037,9.805
27039,8.769
27041,6.706
27043,6.36
27045,7.15
27047,6.529
27049,7.069
27051,6.375
27053,12.202
27055,7.751
27057,5.302
27059,6.047
27061,5.677
27063,5.692
27065,4.62
27067,7.065
27069,6.301
27071,7.01
27073,6.209
27075,6.541
27077,4.957
27079,6.094
27081,6.574
27083,7.354
27085,6.46
27087,4.867
27089,5.286
27091,6.862
27093,5.8
27095,6.501
27097,5.866
27099,7.362
27101,5.653
27103,6.656
27105,6.321
27107,6.125
27109,7.591
27111,5.89
27113,6.512
27115,5.848
27117,6.93
27119,7.597
27121,5.692
27123,12.96
27125,5.658
27127,6.478
27129,6.116
27131,7.406
27133,6.184
27135,5.465
27137,9.134
27139,8.207
27141,5.808
27143,5.387
27145,7.253
27147,6.639
27149,6.306
27151,7.057
27153,4.929
27155,6.533
27157,7.889
27159,5.705
27161,7.169
27163,8.453
27165,6.786
27167,5.478
27169,7.246
27171,6.669
27173,5.69
28001,5.669
28003,5.269
28005,3.19
28007,4.933
28009,3.807
28011,6.138
28013,4.91
28015,3.348
28017,4.111
28019,4.726
28021,3.395
28023,3.732
28025,5.537
28027,6.167
28029,4.783
28031,4.929
28033,6.362
28035,7.082
28037,3.86
28039,4.316
28041,4.558
28043,6.059
28045,5.923
28047,6.562
28049,9.131
28051,4.384
28053,5.769
28055,4.792
28057,4.39
28059,5.917
28061,3.395
28063,3.315
28065,3.553
28067,5.548
28069,4.188
28071,5.807
28073,6.145
28075,6.025
28077,3.854
28079,3.726
28081,6.03
28083,6.856
28085,4.636
28087,6.425
28089,6.474
28091,4.528
28093,4.386
28095,4.865
28097,5.321
28099,4.582
28101,3.921
28103,5.073
28105,5.996
28107,5.077
28109,5.319
28111,4.009
28113,5.942
28115,3.922
28117,5.114
28119,5.178
28121,6.247
28123,4.51
28125,6.914
28127,4.387
28129,3.692
28131,4.532
28133,5.905
28135,4.692
28137,4.355
28139,4.402
28141,4.829
28143,6.2
28145,4.025
28147,4.209
28149,5.755
28151,7.317
28153,4.31
28155,5.097
28157,4.911
28159,4.404
28161,4.436
28163,5.193
29001,7.499
29003,5.777
29005,6.249
29007,6.196
29009,5.648
29011,5.626
29013,6.361
29015,5.77
29017,4.066
29019,7.336
29021,8.351
29023,6.592
29025,5.838
29027,5.682
29029,6.351
29031,6.954
29033,6.316
29035,5.831
29037,7.113
29039,5.373
29041,6.234
29043,6.6
29045,5.251
29047,8.824
29049,6.235
29051,6.614
29053,6.346
29055,5.561
29057,5.457
29059,4.599
29061,5.254
29063,5.735
29065,6.055
29067,4.297
29069,7.1
29071,6.533
29073,5.898
29075,6.495
29077,7.832
29079,6.274
29081,5.75
29083,6.109
29085,4.232
29087,6.641
29089,5.998
29091,5.901
29093,5.324
29095,10.816
29097,7.482
29099,7.008
29101,6.115
29103,5.48
29105,5.24
29107,6.441
29109,6.568
29111,6.131
29113,5.826
29115,6.422
29117,7.18
29119,4.778
29121,5.847
29123,5.77
29125,4.026
29127,7.77
29129,5.035
29131,5.833
29133,6.964
29135,5.978
29137,5.688
29139,5.533
29141,5.268
29143,6.276
29145,5.843
29147,7.217
29149,4.892
29151,4.88
29153,4.84
29155,7.141
29157,6.373
29159,6.937
29161,6.346
29163,5.856
29165,8.356
29167,5.603
29169,5.939
29171,5.481
29173,5.11
29175,6.417
29177,5.252
29179,5.163
29181,4.315
29183,7.986
29185,5.091
29186,5.035
29187,7.117
29189,10.75
29195,6.838
29197,5.294
29199,4.685
29201,6.601
29203,4.799
29205,6.273
29207,6.338
29209,5.626
29211,5.678
29213,6.584
29215,4.861
29217,6.173
29219,5.697
29221,5.163
29223,4.454
29225,5.626
29227,5.48
29229,5.735
29510,14.144
30001,6.863
30003,5.477
30005,4.283
30007,5.799
30009,5.517
30011,5.349
30013,7.772
30015,5.367
30017,8.593
30019,5.789
30021,7.356
30023,6.843
30025,6.869
30027,7.511
30029,7.168
30031,10.878
30033,6.667
30035,4.666
30037,5.833
30039,5.445
30041,7.193
30043,6.089
30045,5.329
30047,5.73
30049,7.699
30051,5.214
30053,6.771
30055,6.364
30057,5.457
30059,5.141
30061,5.867
30063,11.709
30065,5.833
30067,8.007
30069,5.0
30071,7.835
30073,6.534
30075,4.63
30077,6.08
30079,6.167
30081,5.597
30083,6.848
30085,6.602
30087,7.366
30089,5.755
30091,5.894
30093,13.337
30095,5.93
30097,6.973
30099,6.265
30101,6.453
30103,5.167
30105,7.273
30107,6.434
30109,6.5
30111,7.608
31001,7.576
31003,5.544
31005,5.0
31007,5.5
31009,6.667
31011,6.164
31013,7.529
31015,6.592
31017,6.902
31019,7.96
31021,6.732
31023,5.135
31025,6.136
31027,5.988
31029,6.856
31031,6.335
31033,7.61
31035,6.221
31037,7.905
31039,7.423
31041,6.09
31043,11.543
31045,7.804
31047,6.72
31049,6.545
31051,5.205
31053,8.083
31055,11.408
31057,7.532
31059,7.415
31061,6.227
31063,5.905
31065,7.277
31067,7.155
31069,6.27
31071,6.682
31073,5.755
31075,6.667
31077,5.99
31079,8.253
31081,6.465
31083,5.741
31085,5.0
31087,5.63
31089,7.152
31091,6.833
31093,5.757
31095,7.137
31097,6.527
31099,6.624
31101,7.147
31103,6.0
31105,7.074
31107,7.025
31109,12.883
31111,7.915
31113,6.0
31115,6.167
31117,4.833
31119,8.022
31121,6.256
31123,5.975
31125,6.657
31127,6.408
31129,6.484
31131,7.112
31133,5.684
31135,5.789
31137,7.498
31139,6.572
31141,8.0
31143,6.036
31145,7.689
31147,6.334
31149,6.034
31151,6.079
31153,7.881
31155,6.049
31157,7.619
31159,5.731
31161,6.271
31163,6.31
31165,4.677
31167,4.681
31169,7.033
31171,6.833
31173,6.245
31175,5.83
31177,5.609
31179,5.933
31181,6.596
31183,4.833
31185,7.704
32001,5.962
32003,11.738
32005,7.14
32007,5.983
32009,4.101
32011,4.321
32013,5.514
32015,6.089
32017,5.548
32019,5.298
32021,4.912
32023,5.541
32027,5.177
32029,3.616
32031,10.049
32033,7.07
32510,9.917
33001,6.95
33003,6.6
33005,6.846
33007,6.478
33009,8.073
33011,7.302
33013,6.688
33015,6.893
33017,7.139
33019,6.336
34001,11.365
34003,13.365
34005,9.45
34007,12.393
34009,10.804
34011,8.799
34013,13.276
34015,10.132
34017,14.536
34019,6.857
34021,11.9
34023,11.565
34025,10.85
34027,9.663
34029,9.246
34031,13.436
34033,9.41
34035,8.905
34037,6.495
34039,13.113
34041,8.265
35001,12.03
35003,4.915
35005,7.918
35006,5.744
35007,6.774
35009,7.575
35011,6.773
35013,7.077
35015,7.548
35017,6.407
35019,6.205
35021,6.333
35023,8.319
35025,7.471
35027,7.378
35028,6.359
35029,7.203
35031,5.363
35033,4.839
35035,5.676
35037,7.98
35039,4.924
35041,6.701
35043,8.077
35045,7.719
35047,6.132
35049,9.432
35051,7.198
35053,6.202
35055,6.286
35057,5.083
35059,7.844
35061,6.89
36001,10.96
36003,5.566
36005,13.114
36007,6.741
36009,6.092
36011,7.745
36013,6.865
36015,6.917
36017,5.096
36019,5.533
36021,6.074
36023,6.442
36025,5.315
36027,6.946
36029,10.963
36031,5.658
36033,5.573
36035,6.56
36037,5.722
36039,5.458
36041,5.195
36043,5.596
36045,6.028
36047,13.706
36049,4.542
36051,8.095
36053,5.998
36055,10.487
36057,6.064
36059,13.991
36061,13.75
36063,8.773
36065,9.096
36067,10.924
36069,6.184
36071,8.089
36073,5.425
36075,7.808
36077,5.634
36079,7.32
36081,14.32
36083,9.429
36085,14.467
36087,9.145
36089,5.718
36091,7.419
36093,11.271
36095,4.74
36097,4.718
36099,5.925
36101,6.443
36103,8.557
36105,6.1
36107,5.795
36109,6.523
36111,6.342
36113,7.511
36115,5.745
36117,6.062
36119,12.873
36121,5.52
36123,5.385
37001,6.504
37003,5.239
37005,5.302
37007,5.043
37009,4.934
37011,6.377
37013,5.77
37015,4.066
37017,4.201
37019,6.252
37021,9.1
37023,5.499
37025,8.409
37027,5.656
37029,3.925
37031,6.343
37033,4.118
37035,6.456
37037,5.994
37039,5.64
37041,6.117
37043,5.389
37045,5.704
37047,4.913
37049,6.294
37051,6.555
37053,5.799
37055,7.806
37057,5.822
37059,5.423
37061,4.775
37063,10.144
37065,7.157
37067,6.922
37069,5.334
37071,6.544
37073,3.649
37075,4.406
37077,5.007
37079,4.359
37081,7.625
37083,5.87
37085,5.617
37087,6.318
37089,6.703
37091,5.189
37093,4.767
37095,4.949
37097,6.163
37099,6.07
37101,5.783
37103,4.612
37105,6.02
37107,6.038
37109,5.477
37111,5.407
37113,6.109
37115,4.891
37117,5.297
37119,10.5
37121,5.915
37123,5.098
37125,6.075
37127,7.727
37129,10.632
37131,3.935
37133,5.74
37135,9.767
37137,5.318
37139,7.533
37141,5.905
37143,4.827
37145,5.194
37147,6.972
37149,5.599
37151,5.347
37153,5.759
37155,5.012
37157,5.303
37159,6.311
37161,5.7
37163,5.086
37165,5.817
37167,5.911
37169,4.692
37171,5.68
37173,5.721
37175,6.066
37177,4.445
37179,6.321
37181,5.935
37183,9.794
37185,4.254
37187,4.598
37189,7.574
37191,5.608
37193,4.604
37195,6.648
37197,5.039
37199,5.853
38001,6.924
38003,6.443
38005,4.242
